rank,course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
109,2360501,מבוא לבינה מלאכותית,201501 to 202402,15,84.202,2671,96.473,3.14,50,https://michael-maltsev.github.io/technion-histograms/02360501/,https://cheesefork.cf/?course=02360501&semester=202502
110,2340114,מבוא למדעי המחשב מ',201401 to 202403,31,78.887,6316,90.891,3.142,120,https://michael-maltsev.github.io/technion-histograms/02340114/,https://cheesefork.cf/?course=02340114&semester=202502
111,1140078,פיסיקה 2ל,201302 to 202403,27,71.433,2090,88.045,3.158,19,https://michael-maltsev.github.io/technion-histograms/01140078/,https://cheesefork.cf/?course=01140078&semester=202502
112,340371,פרויקט תכן לייצור,201501 to 202402,17,89.016,1263,98.838,3.167,12,https://michael-maltsev.github.io/technion-histograms/00340371/,https://cheesefork.cf/?course=00340371&semester=202502
113,1140021,מעבדה לפיסיקה 2מ,201601 to 202403,18,91.893,431,98.587,3.19,21,https://michael-maltsev.github.io/technion-histograms/01140021/,https://cheesefork.cf/?course=01140021&semester=202502
114,340022,מבוא למכטרוניקה,201401 to 202401,16,83.274,1508,96.06,3.2,10,https://michael-maltsev.github.io/technion-histograms/00340022/,https://cheesefork.cf/?course=00340022&semester=202502
115,960250,מערכות מידע מבוזרות,201502 to 202401,10,80.09,1178,96.994,3.2,30,https://michael-maltsev.github.io/technion-histograms/00960250/,https://cheesefork.cf/?course=00960250&semester=202501
116,2360781,למידה עמוקה על מאיצים חישוביים,201901 to 202401,11,93.149,1214,99.353,3.207,29,https://michael-maltsev.github.io/technion-histograms/02360781/,https://cheesefork.cf/?course=02360781&semester=202501
117,2360319,שפות תכנות,201801 to 202402,12,78.559,946,89.876,3.214,42,https://michael-maltsev.github.io/technion-histograms/02360319/,https://cheesefork.cf/?course=02360319&semester=202502
118,3240445,הסתגלות למצבי לחץ,201501 to 202501,21,94.825,1788,99.592,3.214,14,https://michael-maltsev.github.io/technion-histograms/03240445/,https://cheesefork.cf/?course=03240445&semester=202502
119,1040003,חשבון דיפרנציאלי ואינטגרלי 1,200901 to 202501,23,71.435,5693,84.313,3.219,32,https://michael-maltsev.github.io/technion-histograms/01040003/,https://cheesefork.cf/?course=01040003&semester=202501
120,1040214,טורי פורייה והתמרות אינטגרליות,200901 to 202501,10,72.753,2611,84.563,3.222,45,https://michael-maltsev.github.io/technion-histograms/01040214/,https://cheesefork.cf/?course=01040214&semester=202502
121,3140200,מבוא להנ.חומרים לתעופה וחלל,201401 to 202402,12,79.071,877,95.894,3.222,18,https://michael-maltsev.github.io/technion-histograms/03140200/,https://cheesefork.cf/?course=03140200&semester=202502
122,2360703,תכנות מונחה עצמים,201602 to 202401,17,78.037,1138,94.165,3.231,26,https://michael-maltsev.github.io/technion-histograms/02360703/,https://cheesefork.cf/?course=02360703&semester=202501
123,3240442,משפט העבודה בישראל,201402 to 202402,21,92.207,1997,99.237,3.231,26,https://michael-maltsev.github.io/technion-histograms/03240442/,https://cheesefork.cf/?course=03240442&semester=202502
124,460202,עיבוד וניתוח מידע,201901 to 202501,7,79.869,505,96.202,3.238,21,https://michael-maltsev.github.io/technion-histograms/00460202/,https://cheesefork.cf/?course=00460202&semester=202501
125,2360334,מבוא לרשתות מחשבים,201502 to 202402,17,80.159,1389,93.941,3.241,29,https://michael-maltsev.github.io/technion-histograms/02360334/,https://cheesefork.cf/?course=02360334&semester=202501
126,940314,מודלים סטוכסטיים בחקר בצועים,201402 to 202501,18,74.13,1982,90.948,3.25,36,https://michael-maltsev.github.io/technion-histograms/00940314/,https://cheesefork.cf/?course=00940314&semester=202502
127,1140246,אלקטרומגנטיות ואלקטרודינמיקה,201502 to 202402,10,77.012,967,90.919,3.25,32,https://michael-maltsev.github.io/technion-histograms/01140246/,https://cheesefork.cf/?course=01140246&semester=202502
128,3340011,יסודות תכן ביו,202001 to 202401,8,80.33,404,96.035,3.25,12,https://michael-maltsev.github.io/technion-histograms/03340011/,https://cheesefork.cf/?course=03340011&semester=202502
129,1040041,חשבון דיפרנציאלי ואינטגרלי 1מ1,202201 to 202501,4,68.18,2127,75.544,3.255,106,https://michael-maltsev.github.io/technion-histograms/01040041/,https://cheesefork.cf/?course=01040041&semester=202501
130,840738,תורת הבקרה,201601 to 202501,11,82.652,792,96.366,3.267,15,https://michael-maltsev.github.io/technion-histograms/00840738/,https://cheesefork.cf/?course=00840738&semester=202501
131,440214,טכניקות קליטה ושידור,201501 to 202401,8,80.271,170,95.353,3.273,11,https://michael-maltsev.github.io/technion-histograms/00440214/,https://cheesefork.cf/?course=00440214&semester=202501
132,940513,מאקרו כלכלה,201601 to 202201,7,79.411,343,95.265,3.273,11,https://michael-maltsev.github.io/technion-histograms/00940513/,https://cheesefork.cf/?course=00940513&semester=202501
133,1240911,מעבדה כימיה אורגנית 1,201402 to 202402,13,90.652,815,99.569,3.273,11,https://michael-maltsev.github.io/technion-histograms/01240911/,https://cheesefork.cf/?course=01240911&semester=202502
134,2340141,קומבינטוריקה למדעי המחשב,201401 to 202403,30,72.136,6520,85.13,3.286,98,https://michael-maltsev.github.io/technion-histograms/02340141/,https://cheesefork.cf/?course=02340141&semester=202502
135,440140,שדות אלקטרומגנטיים,201001 to 202402,27,72.138,3141,86.434,3.294,34,https://michael-maltsev.github.io/technion-histograms/00440140/,https://cheesefork.cf/?course=00440140&semester=202502
136,460332,מערכות ראיה ושמיעה,201502 to 202402,19,81.794,1808,96.812,3.294,17,https://michael-maltsev.github.io/technion-histograms/00460332/,https://cheesefork.cf/?course=00460332&semester=202501
137,640522,מבוא להנדסת ביוטכנולוגיה ומזון,201501 to 202501,11,90.6,801,99.605,3.3,20,https://michael-maltsev.github.io/technion-histograms/00640522/,https://cheesefork.cf/?course=00640522&semester=202501
138,1040065,אלגברה 1מ2,202301 to 202501,3,69.139,1274,77.351,3.306,49,https://michael-maltsev.github.io/technion-histograms/01040065/,https://cheesefork.cf/?course=01040065&semester=202501
139,460746,אלגוריתמים ויישומים בראייה ממוחשבת,201202 to 202402,14,84.4,981,97.179,3.318,22,https://michael-maltsev.github.io/technion-histograms/00460746/,https://cheesefork.cf/?course=00460746&semester=202402
140,460267,מבנה מחשבים,201302 to 202501,22,77.842,2569,91.728,3.324,37,https://michael-maltsev.github.io/technion-histograms/00460267/,https://cheesefork.cf/?course=00460267&semester=202502
141,340040,מבוא לבקרה,201401 to 202501,18,75.603,1777,86.971,3.333,24,https://michael-maltsev.github.io/technion-histograms/00340040/,https://cheesefork.cf/?course=00340040&semester=202502
142,1040034,מבוא להסתברות ח',200302 to 202501,42,71.196,9883,81.882,3.348,66,https://michael-maltsev.github.io/technion-histograms/01040034/,https://cheesefork.cf/?course=01040034&semester=202502
143,1240503,כימיה פיסיקלית 1ב',201201 to 202401,12,79.389,2362,96.918,3.348,23,https://michael-maltsev.github.io/technion-histograms/01240503/,https://cheesefork.cf/?course=01240503&semester=202501
144,1040032,חשבון אינפיניטסימלי 2מ',201501 to 202402,20,69.719,5192,81.14,3.353,136,https://michael-maltsev.github.io/technion-histograms/01040032/,https://cheesefork.cf/?course=01040032&semester=202502
145,440102,בטיחות במעבדות חשמל,202501 to 202501,1,0,869,97,3.362,47,https://michael-maltsev.github.io/technion-histograms/00440102/,https://cheesefork.cf/?course=00440102&semester=202502
146,940503,מיקרו כלכלה 1,201502 to 202402,10,77.226,504,92.992,3.364,11,https://michael-maltsev.github.io/technion-histograms/00940503/,https://cheesefork.cf/?course=00940503&semester=202502
147,2360379,קידוד ואלגוריתמים לזכרונות,202001 to 202401,4,93.222,115,91.496,3.364,11,https://michael-maltsev.github.io/technion-histograms/02360379/,https://cheesefork.cf/?course=02360379&semester=202501
148,3240284,חינוך בסין ובישראל,201801 to 202501,13,93.503,731,98.814,3.364,22,https://michael-maltsev.github.io/technion-histograms/03240284/,https://cheesefork.cf/?course=03240284&semester=202501
149,1040033,אנליזה וקטורית,201601 to 202402,19,71.014,1637,82.448,3.375,16,https://michael-maltsev.github.io/technion-histograms/01040033/,https://cheesefork.cf/?course=01040033&semester=202502
150,340010,דינמיקה,201202 to 202402,18,71.734,1942,86.32,3.381,21,https://michael-maltsev.github.io/technion-histograms/00340010/,https://cheesefork.cf/?course=00340010&semester=202502
151,1240801,כימיה אורגנית 1ב,201102 to 202402,13,78.612,1439,91.961,3.391,23,https://michael-maltsev.github.io/technion-histograms/01240801/,https://cheesefork.cf/?course=01240801&semester=202502
152,1250001,כימיה כללית,200801 to 202501,30,71.695,14838,83.882,3.398,113,https://michael-maltsev.github.io/technion-histograms/01250001/,https://cheesefork.cf/?course=01250001&semester=202502
153,140214,יסודות מכניקת הזורמים,201501 to 202401,13,75.876,786,93.384,3.4,15,https://michael-maltsev.github.io/technion-histograms/00140214/,https://cheesefork.cf/?course=00140214&semester=202501
154,460237,מעגלים משולבים,200302 to 202402,19,79.589,1303,97.43,3.4,25,https://michael-maltsev.github.io/technion-histograms/00460237/,https://cheesefork.cf/?course=00460237&semester=202501
155,1040002,מושגי יסוד במתמטיקה,201901 to 202402,11,75.334,619,81,3.4,25,https://michael-maltsev.github.io/technion-histograms/01040002/,https://cheesefork.cf/?course=01040002&semester=202502
156,3150052,קינטיקת טרנספורמציות בחומרים,201601 to 202401,9,75.532,454,94.251,3.4,10,https://michael-maltsev.github.io/technion-histograms/03150052/,https://cheesefork.cf/?course=03150052&semester=202501
157,3240474,"אתיקה: יסודות, נורמה ויישום",202301 to 202501,3,95.199,151,99.377,3.412,17,https://michael-maltsev.github.io/technion-histograms/03240474/,https://cheesefork.cf/?course=03240474&semester=202501
158,940312,מודלים דטרמיניסטים בחקר ביצועים,202301 to 202501,3,69.961,325,81.403,3.417,24,https://michael-maltsev.github.io/technion-histograms/00940312/,https://cheesefork.cf/?course=00940312&semester=202502
159,2340292,לוגיקה למדעי המחשב,201802 to 202402,13,73.069,3391,80.382,3.417,72,https://michael-maltsev.github.io/technion-histograms/02340292/,https://cheesefork.cf/?course=02340292&semester=202502
160,2360496,הנדסה לאחור,201901 to 202302,6,87.159,299,99.666,3.417,12,https://michael-maltsev.github.io/technion-histograms/02360496/,https://cheesefork.cf/?course=02360496&semester=202502
161,1040135,משוואות דפרנציאליות רגילות ת',200702 to 202402,28,75.585,4544,88.237,3.429,28,https://michael-maltsev.github.io/technion-histograms/01040135/,https://cheesefork.cf/?course=01040135&semester=202502
162,1240708,כימיה אורגנית מורחב 1,201402 to 202501,19,77.346,742,86.654,3.429,14,https://michael-maltsev.github.io/technion-histograms/01240708/,https://cheesefork.cf/?course=01240708&semester=202502
163,2360342,מבוא לאימות תוכנה,201701 to 202401,8,79.499,680,92.885,3.429,14,https://michael-maltsev.github.io/technion-histograms/02360342/,https://cheesefork.cf/?course=02360342&semester=202501
164,940101,מבוא להנדסת תעשיה וניהול,201502 to 202401,13,79.825,725,97.001,3.438,16,https://michael-maltsev.github.io/technion-histograms/00940101/,https://cheesefork.cf/?course=00940101&semester=202501
165,3240262,תולדות הפילוסופיה והמדע בעת החדשה,202201 to 202401,4,92.78,235,97.472,3.438,16,https://michael-maltsev.github.io/technion-histograms/03240262/,https://cheesefork.cf/?course=03240262&semester=202501
166,140104,תורת החוזק 1,201401 to 202501,24,67.941,2298,84.94,3.448,29,https://michael-maltsev.github.io/technion-histograms/00140104/,https://cheesefork.cf/?course=00140104&semester=202502
167,3240032,אנגלית למתקדמים א',202102 to 202402,6,85.201,533,97.071,3.455,11,https://michael-maltsev.github.io/technion-histograms/03240032/,https://cheesefork.cf/?course=03240032&semester=202502
168,1040012,חשבון דיפרנציאלי ואינטגרלי 1ת',200602 to 202501,22,62.563,9217,70.214,3.462,78,https://michael-maltsev.github.io/technion-histograms/01040012/,https://cheesefork.cf/?course=01040012&semester=202502
169,3340274,מבוא לאנטומיה של האדם,202101 to 202401,4,83.573,474,97.922,3.462,13,https://michael-maltsev.github.io/technion-histograms/03340274/,https://cheesefork.cf/?course=03340274&semester=202501
170,3940807,כושר גופני מעורב,202001 to 202501,5,95.514,1353,98.39,3.467,15,https://michael-maltsev.github.io/technion-histograms/03940807/,https://cheesefork.cf/?course=03940807&semester=202502
171,1340113,מסלולים מטבולים,201101 to 202501,12,78.321,2326,93.373,3.472,36,https://michael-maltsev.github.io/technion-histograms/01340113/,https://cheesefork.cf/?course=01340113&semester=202501
172,460002,תכן וניתוח אלגוריתמים,201502 to 202402,16,76.562,826,93.654,3.478,23,https://michael-maltsev.github.io/technion-histograms/00460002/,https://cheesefork.cf/?course=00460002&semester=202502
173,440114,מתמטיקה דיסקרטית ח',201602 to 202401,13,76.413,546,94.059,3.5,10,https://michael-maltsev.github.io/technion-histograms/00440114/,https://cheesefork.cf/?course=00440114&semester=202502
174,1040038,אלגברה 2מ,202201 to 202501,8,75.142,1632,83.756,3.5,44,https://michael-maltsev.github.io/technion-histograms/01040038/,https://cheesefork.cf/?course=01040038&semester=202502
175,1040291,אלגוריתמים קומבינטוריים,201601 to 202402,9,76.773,276,92.971,3.5,14,https://michael-maltsev.github.io/technion-histograms/01040291/,https://cheesefork.cf/?course=01040291&semester=202502
176,1160217,פיסיקה של מצב מוצק,201501 to 202501,11,80.062,1079,92.198,3.5,22,https://michael-maltsev.github.io/technion-histograms/01160217/,https://cheesefork.cf/?course=01160217&semester=202501
177,1270427,מצב מוצק לכימאים (מורחב),201601 to 202301,8,78.771,345,91.574,3.5,10,https://michael-maltsev.github.io/technion-histograms/01270427/,https://cheesefork.cf/?course=01270427&semester=202501
178,1040031,חשבון אינפיניטסימלי 1מ',201401 to 202501,31,67.403,11697,77.209,3.508,242,https://michael-maltsev.github.io/technion-histograms/01040031/,https://cheesefork.cf/?course=01040031&semester=202502
179,1040134,אלגברה מודרנית ח,201001 to 202403,35,74.689,7372,85.872,3.515,68,https://michael-maltsev.github.io/technion-histograms/01040134/,https://cheesefork.cf/?course=01040134&semester=202502
180,1240117,יסודות הכימיה א',201201 to 202501,13,76.046,873,86.576,3.524,21,https://michael-maltsev.github.io/technion-histograms/01240117/,https://cheesefork.cf/?course=01240117&semester=202501
181,940219,הנדסת תוכנה,201601 to 202402,16,71.571,1690,85.87,3.526,57,https://michael-maltsev.github.io/technion-histograms/00940219/,https://cheesefork.cf/?course=00940219&semester=202502
182,1040136,משוואות דיפרנציאליות רגילות מ,202202 to 202501,6,69.088,2050,77.279,3.527,74,https://michael-maltsev.github.io/technion-histograms/01040136/,https://cheesefork.cf/?course=01040136&semester=202502
183,2340221,מבוא למדעי המחשב נ',201801 to 202401,11,74.583,853,86.217,3.536,28,https://michael-maltsev.github.io/technion-histograms/02340221/,https://cheesefork.cf/?course=02340221&semester=202502
184,940170,שיטות בהנדסת תעשיה,201901 to 202401,6,84.845,235,98.787,3.545,11,https://michael-maltsev.github.io/technion-histograms/00940170/,https://cheesefork.cf/?course=00940170&semester=202501
185,440137,מעגלים אלקטרוניים,201802 to 202402,13,80.673,2593,93.825,3.548,42,https://michael-maltsev.github.io/technion-histograms/00440137/,https://cheesefork.cf/?course=00440137&semester=202502
186,960327,מודלים לא לינאריים בחקר ביצועים,201701 to 202402,8,76.923,862,94.173,3.55,20,https://michael-maltsev.github.io/technion-histograms/00960327/,https://cheesefork.cf/?course=00960327&semester=202502
187,970247,אינטרנט של הדברים: טכנולוגיות,201902 to 202401,5,91.451,381,98.139,3.556,18,https://michael-maltsev.github.io/technion-histograms/00970247/,https://cheesefork.cf/?course=00970247&semester=202501
188,960411,למידה חישובית 1,201502 to 202402,15,80.892,1635,97.12,3.559,34,https://michael-maltsev.github.io/technion-histograms/00960411/,https://cheesefork.cf/?course=00960411&semester=202502
189,3240033,אנגלית טכנית,201401 to 202501,32,85.765,7921,99.346,3.564,94,https://michael-maltsev.github.io/technion-histograms/03240033/,https://cheesefork.cf/?course=03240033&semester=202502
190,440127,יסודות התקני מוליכים למחצה,200902 to 202501,15,79.084,3110,91.906,3.566,53,https://michael-maltsev.github.io/technion-histograms/00440127/,https://cheesefork.cf/?course=00440127&semester=202502
191,140841,יסודות המיפוי והמדידה 1,201502 to 202302,16,82.984,1498,96.616,3.571,14,https://michael-maltsev.github.io/technion-histograms/00140841/,https://cheesefork.cf/?course=00140841&semester=202502
192,1240220,כימיה אנליטית 1 (מורחב),201202 to 202402,13,71.748,694,80.141,3.583,12,https://michael-maltsev.github.io/technion-histograms/01240220/,https://cheesefork.cf/?course=01240220&semester=202502
193,3140003,מבוא למכניקת המוצקים,201601 to 202401,9,80.533,533,93.704,3.583,12,https://michael-maltsev.github.io/technion-histograms/03140003/,https://cheesefork.cf/?course=03140003&semester=202501
194,440158,מעבדה בהנדסת חשמל 1ב,201901 to 202501,17,96.028,1355,99.934,3.588,17,https://michael-maltsev.github.io/technion-histograms/00440158/,https://cheesefork.cf/?course=00440158&semester=202502
195,340041,מעבר חום,201501 to 202403,17,77.7,1511,90.037,3.591,22,https://michael-maltsev.github.io/technion-histograms/00340041/,https://cheesefork.cf/?course=00340041&semester=202502
196,1340019,מבוא לביוכימיה ואנזימולוגיה,201001 to 202402,24,75.711,3720,89.959,3.593,54,https://michael-maltsev.github.io/technion-histograms/01340019/,https://cheesefork.cf/?course=01340019&semester=202502
197,440198,מבוא לעבוד ספרתי של אותות,201002 to 202501,24,76.881,3138,93.112,3.6,25,https://michael-maltsev.github.io/technion-histograms/00440198/,https://cheesefork.cf/?course=00440198&semester=202502
198,640118,תופעות מעבר חומר,201702 to 202402,8,77.322,493,93.927,3.6,10,https://michael-maltsev.github.io/technion-histograms/00640118/,https://cheesefork.cf/?course=00640118&semester=202502
199,970317,תורת המשחקים השיתופיים,201602 to 202401,8,80.994,310,95.063,3.6,10,https://michael-maltsev.github.io/technion-histograms/00970317/,https://cheesefork.cf/?course=00970317&semester=202501
200,3340021,מגמות בהנדסה ביו,201301 to 202401,12,90.566,1129,99.885,3.6,15,https://michael-maltsev.github.io/technion-histograms/03340021/,https://cheesefork.cf/?course=03340021&semester=202501
201,440191,מערכות בקרה 1,201002 to 202402,19,79.294,1423,93.194,3.611,18,https://michael-maltsev.github.io/technion-histograms/00440191/,https://cheesefork.cf/?course=00440191&semester=202502
202,340028,מכניקת מוצקים 1,201102 to 202402,23,68.662,2437,84.852,3.632,38,https://michael-maltsev.github.io/technion-histograms/00340028/,https://cheesefork.cf/?course=00340028&semester=202502
203,840737,מערכות דינמיות,201502 to 202402,11,80.255,787,96.188,3.636,11,https://michael-maltsev.github.io/technion-histograms/00840737/,https://cheesefork.cf/?course=00840737&semester=202502
204,1140077,פיסיקה 1ל,201401 to 202501,24,69.658,1674,83.565,3.636,22,https://michael-maltsev.github.io/technion-histograms/01140077/,https://cheesefork.cf/?course=01140077&semester=202501
205,2340118,ארגון ותכנות המחשב,201401 to 202402,23,77.879,5329,94.422,3.636,77,https://michael-maltsev.github.io/technion-histograms/02340118/,https://cheesefork.cf/?course=02340118&semester=202502
206,3240460,מחשבה מדינית יהודית עד העת החדשה,201602 to 202401,4,94.496,205,98.156,3.636,11,https://michael-maltsev.github.io/technion-histograms/03240460/,https://cheesefork.cf/?course=03240460&semester=202401
207,1140076,פיסיקה 2פ',201202 to 202402,13,75.416,1721,90.674,3.642,53,https://michael-maltsev.github.io/technion-histograms/01140076/,https://cheesefork.cf/?course=01140076&semester=202502
208,940423,מבוא לסטטיסטיקה,201402 to 202403,24,78.474,2467,94.9,3.643,28,https://michael-maltsev.github.io/technion-histograms/00940423/,https://cheesefork.cf/?course=00940423&semester=202502
209,440101,מבוא למערכות תכנה,201201 to 202501,23,79.633,2231,92.292,3.647,34,https://michael-maltsev.github.io/technion-histograms/00440101/,https://cheesefork.cf/?course=00440101&semester=202502
210,1140075,פיסיקה 2ממ,200902 to 202501,41,74.179,8632,86.375,3.65,80,https://michael-maltsev.github.io/technion-histograms/01140075/,https://cheesefork.cf/?course=01140075&semester=202502
211,950605,מבוא לפסיכולוגיה,201501 to 202402,15,86.138,1006,99.699,3.652,23,https://michael-maltsev.github.io/technion-histograms/00950605/,https://cheesefork.cf/?course=00950605&semester=202502
212,440334,רשתות מחשבים ואינטרנט 1,201202 to 202501,23,77.526,2702,94.323,3.655,29,https://michael-maltsev.github.io/technion-histograms/00440334/,https://cheesefork.cf/?course=00440334&semester=202502
213,1040293,תורת הקבוצות,202001 to 202501,11,77.989,437,88.736,3.667,18,https://michael-maltsev.github.io/technion-histograms/01040293/,https://cheesefork.cf/?course=01040293&semester=202502
214,1040220,משוואות דפרנציאליות חלקיות ת',200901 to 202501,9,73.675,2511,81.801,3.677,31,https://michael-maltsev.github.io/technion-histograms/01040220/,https://cheesefork.cf/?course=01040220&semester=202502
215,2340124,מבוא לתכנות מערכות,201801 to 202402,16,76.322,4715,90.223,3.685,146,https://michael-maltsev.github.io/technion-histograms/02340124/,https://cheesefork.cf/?course=02340124&semester=202502
216,2340247,אלגוריתמים 1,201402 to 202402,22,72.96,6257,87.432,3.696,69,https://michael-maltsev.github.io/technion-histograms/02340247/,https://cheesefork.cf/?course=02340247&semester=202502
217,3140533,מבוא להנדסת חומרים מ'1,201402 to 202402,16,80.853,1993,97.464,3.7,20,https://michael-maltsev.github.io/technion-histograms/03140533/,https://cheesefork.cf/?course=03140533&semester=202502
